Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
Enedis;2012;Electricité;98.7;2;0;0.955;0.0;0;0;0.0;0.0;0;0;0.0;2034.04;301;0;0.317;0.0;0.0;0.0;0;0;0.0;61418;Saint-Mard-de-Réno;200036069;CC du Pays de Mortagne-au-Perche;61;Orne;28;Normandie;100;2132.74;61400
Enedis;2012;Electricité;0.0;0;0;0.0;1.41;1;0;0.916;0.0;0;0;0.0;832.01;165;0;0.321;0.0;0.0;0.0;0;0;0.0;61419;Sainte-Marguerite-de-Carrouges;200071652;CC du Pays Fertois et du Bocage Carrougien;61;Orne;28;Normandie;100;833.42;61320
Enedis;2012;Electricité;143.26;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;968.39;102;0;0.267;0.0;0.0;0.0;0;0;0.0;61424;Saint-Martin-des-Landes;200071652;CC du Pays Fertois et du Bocage Carrougien;61;Orne;28;Normandie;100;1111.65;61320
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;876.15;109;0;0.339;0.0;0.0;0.0;0;0;0.0;61442;Saint-Patrice-du-Désert;200071652;CC du Pays Fertois et du Bocage Carrougien;61;Orne;28;Normandie;100;876.15;61600
Enedis;2012;Electricité;0.0;0;0;0.0;735.24;2;0;0.993;289.71;2;0;0.893;4672.64;763;0;0.296;0.0;0.0;0.0;0;0;0.0;61447;Saint-Pierre-du-Regard;200035814;CA Flers Agglo;61;Orne;28;Normandie;100;5697.59;61790
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;1722.04;233;0;0.308;0.0;0.0;0.0;0;0;0.0;61448;Saint-Pierre-la-Bruyère;200068435;CC Cœur du Perche;61;Orne;28;Normandie;100;1722.04;61340
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;694.72;127;0;0.31;0.0;0.0;0.0;0;0;0.0;61452;Saint-Roch-sur-Égrenne;200068443;CC Andaine - Passais;61;Orne;28;Normandie;100;694.72;61350
Enedis;2012;Electricité;0.0;0;0;0.0;8.32;1;0;0.685;100.08;1;0;0.865;2329.51;375;0;0.297;0.0;0.0;0.0;0;0;0.0;61454;Sainte-Scolasse-sur-Sarthe;200035103;CC de la Vallée de la Haute-Sarthe;61;Orne;28;Normandie;100;2437.9100000000003;61170
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;420.85;4;0;0.9;3946.2;454;0;0.267;0.0;0.0;0.0;0;0;0.0;61462;Sarceaux;200068450;CC Argentan Intercom;61;Orne;28;Normandie;100;4367.05;61200
Enedis;2012;Electricité;0.0;0;0;0.0;650.91;3;0;0.906;0.0;0;0;0.0;6987.75;892;0;0.339;0.0;0.0;0.0;0;0;0.0;61463;Les Monts d'Andaine;200035814;CA Flers Agglo;61;Orne;28;Normandie;100;7638.66;61600/61600
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;1128.46;144;0;0.272;0.0;0.0;0.0;0;0;0.0;61476;Suré;200072676;CC Maine Saosnois;61;Orne;28;Normandie;100;1128.46;61360
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;1546.92;204;0;0.352;0.0;0.0;0.0;0;0;0.0;61482;Tessé-Froulay;200068443;CC Andaine - Passais;61;Orne;28;Normandie;100;1546.92;61410
Enedis;2012;Electricité;59.47;1;0;0.914;40689.24;9;0;0.999;603.11;11;0;0.866;13974.41;2056;0;0.288;0.0;0.0;28.65;1;0;0.951;61484;Val-au-Perche;200071504;CC des Collines du Perche Normand;61;Orne;28;Normandie;100;55354.88;61260/61260/61260/61340/61260/61130
